source,year,cu,outlet,plant,items,ytd_june_,fc_7+5,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,budget,target,vs_fc_7+5,vs_fc_7+5_1,comments
2024_698_219_7521_20231004,2024,698,219,7521,Sales,4188834.286,9886838.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9886838.524,-1,
2024_698_219_7521_20231004,2024,698,219,7521,Assessment from Central Functions (520),-83427.147,-170767.381,-7558.495,-7874.897,-8004.156,-7252.033,-7267.648,-7751.638,-9846.002,-7984.332,-8324.054,-8169.242,-7787.193,-8686.792,-96506.482,,74260.89899999999,-0.4348658307291132,
2024_698_219_7521_20231004,2024,698,219,7521,Assessment from FF (520),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,Compensation (E01-299),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,Maintenance (E01-320),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,Product Validation / Requalification after G60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,Related project expenses (RPE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,Others (remaining),0.0,0.0,-43.147,-43.147,-43.147,-43.147,-43.147,-43.147,-43.147,-43.147,-43.147,-43.147,-43.147,-43.147,-517.764,,-517.764,0,
2024_698_219_7521_20231004,2024,698,219,7521,Plant Originated PMME,-83427.147,-170767.381,-7601.642,-7918.044,-8047.303,-7295.18,-7310.795,-7794.785,-9889.149000000001,-8027.479,-8367.201000000001,-8212.389000000001,-7830.34,-8729.939,-97024.246,0.0,73743.135,-0.43183384653536383,
2024_698_219_7521_20231004,2024,698,219,7521,NSHS Allocations in PE MGK & PE FGK,-44341.258,-135273.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,135273.604,-1,
