CU,Plant,Outlet,BU,Division,Plant name,Outlet name,Profit Center
698,9,9999,VT,VT,none,Non-Operational,50899-001
698,483,7110,VT,VT,ICH Icheon NPF,CGF,50803-320
698,9,7111,VT,VT,none,COT,50803-322
698,242,7112,VT,VT,ICH Icheon,Spin-Off ,50803-330
698,219,7521,SC,P,Sejong,PL MES,50802-018
698,242,7311,AC,P,ICH Icheon,PL EAC,50803-009
698,242,7411,HT,P,ICH Icheon,PL HYD,50803-026
698,242,7431,HT,P,ICH Icheon,PL CM CCN,50803-045
698,242,7432,HT,P,ICH Icheon,PL CM CVS,50803-044
698,242,7436,HT,P,ICH Icheon,PL CM PSS,50803-046
698,242,7521,SC,P,ICH Icheon,PL MES,50803-034
698,242,7721,DS,E,ICH Icheon,PL HVD,50803-047
698,242,7811,CT,E,ICH Icheon,PL ENC,50803-049
698,242,7821,CT,E,ICH Icheon,PL DTC,50803-010
698,242,7831,CT,E,ICH Icheon,PL VBC,50803-050
698,242,7851,CT,E,ICH Icheon,PL MTC,50803-051
698,483,7110,none,Group,ICH Icheon NPF,CGF,50803-320
698,483,7210,Div,P,ICH Icheon NPF,DIV P C,50803-052
698,483,7220,Div,E,ICH Icheon NPF,DIV E C,50803-004
698,483,7221,Div,E,ICH Icheon NPF,DIV E Eng.,50803-042
698,483,7321,AC,P,ICH Icheon NPF,PL DAC,50803-059
698,483,7511,SC,P,ICH Icheon NPF,PL EES,50803-053
698,483,7521,SC,P,ICH Icheon NPF,PL MES,50803-054
698,483,7721,DS,E,ICH Icheon NPF,PL HVD,50803-061
698,483,7811,CT,E,ICH Icheon NPF,PL ENC,50803-055
698,483,7821,CT,E,ICH Icheon NPF,PL DTC,50803-058
698,483,7831,CT,E,ICH Icheon NPF,PL VBC,50803-062
698,483,7841,CT,E,ICH Icheon NPF,PL CEC,50803-056
698,483,7851,CT,E,ICH Icheon NPF,PL MTC,50803-04
