currency,financial_statement_item,fs_item_description,consunit,cu_name,plant,plant_name,outlet,outlet_name,py,lfc,fc,plan,ytd_pm,ytd,ytd_plan,ytd_py,period,period_plan,period_py,ytd_0,ytd_1,ytd_2,ytd_3,ytd_4,ytd_5,ytd_6,ytd_7,ytd_8,ytd_9,ytd_10,ytd_11,ytd_12,division,bu,new_outlet,new_outlet_name
LC,100000000,Total assets,698,VT Korea,9,none,732,PL DAC,24782840.684,0,0,0.0,0,0,0.0,35567862.79,0,0,1065036.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,100000000,Total assets,698,VT Korea,9,none,781,PL ENC,13793833.083,0,0,0.0,0,0,0.0,15800596.159,0,0,-6627087.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,100000000,Total assets,698,VT Korea,9,none,7000,Holding,-1.759,0,0,0,0,0,0,-1.759,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,100000000,Total assets,698,VT Korea,9,none,7110,CGF,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.0,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VT,VT,7110,CGF
LC,100000000,Total assets,698,VT Korea,9,none,7111,COT,-4015476.208,-5474136.387,-5474136.387,-4729817.673,-4584650.497,-4584650.497,-3941514.727,-4016857.863,0,-394151.473,-429059.327,0,0,-1605904.397,-2013939.049,-2473467.003,-2863448.667,-3289353.199,-3694306.221,-4141378.273,-4584650.497,-4584650.497,-4584650.497,-4584650.497,VT,VT,7111,COT
LC,100000000,Total assets,698,VT Korea,9,none,7112,Spin-Off,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,VT,VT,7112,Spin-Off 
LC,100000000,Total assets,698,VT Korea,9,none,7210,DIV P C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,Div,7210,DIV P C
LC,100000000,Total assets,698,VT Korea,9,none,7220,DIV E C,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0,0.0,0.0,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,Div,7220,DIV E C
LC,100000000,Total assets,698,VT Korea,9,none,7221,DIV E Eng.,-30481.067,0.0,0.0,0.0,0.0,0.0,0.0,-10389.345,0,0,262.146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,Div,7221,DIV E Eng.
LC,100000000,Total assets,698,VT Korea,9,none,7311,PL EAC,0.001,6972.551,6972.551,0.0,6972.551,6972.551,0.0,0.001,0,0.0,0.0,0.001,0.0,0.0,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,6972.551,P,AC,7311,PL EAC
