currency,financial_statement_item,fs_item_description,consunit,cu_name,plant,plant_name,outlet,outlet_name,py,lfc,fc,plan,ytd_pm,ytd,ytd_plan,ytd_py,period,period_plan,period_py,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10,period_11,period_12,division,bu,new_outlet,new_outlet_name
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,9,none,7000,Holding,-1.759,0,0,0,0,0,0,-1.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,9,none,7110,CGF,0,-61255.117,0.0,0,-52841.317,0.0,0,0,52841.317,0,0,0,0,-90960.187,90960.187,0,-103912.184,103912.184,0,-52841.317,52841.317,0,0,VT,VT,7110,CGF
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,9,none,7111,COT,-4015476.208,-5474136.387,-5474136.387,-4729817.673,-4584650.497,-4584650.497,-3941514.727,-4016857.863,0,-394151.473,-429059.327,0,-1605904.397,-408034.652,-459527.954,-389981.664,-425904.532,-404953.022,-447072.052,-443272.224,0,0,0,VT,VT,7111,COT
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,9,none,9999,Non-Operational,-5014298.338,-5458653.712,-5472803.644,13247340.184,-2537462.127,-2549668.471,13201171.465,1787486.009,-12206.344,1036091.189,56303.102,0,-223077.238,-1174718.486,2103901.798,-674403.741,-1665048.124,481557.087,-1824516.741,438843.318,-12206.344,0,0,VT,VT,9999,Non-Operational
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,219,Sejong,7521,PL MES,1479026.936,-753817.598,-1897245.669,-384204.613,-1217401.775,-1217401.775,-319962.594,723935.9,0,-36532.108,-72893.451,0,-208503.808,-1025053.224,43957.217,79928.427,-43136.077,1511.326,-46730.094,-19375.542,0,0,0,P,SC,7521,PL MES
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,242,ICH Icheon,732,PL DAC,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,242,ICH Icheon,781,PL ENC,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,242,ICH Icheon,7112,Spin-Off,0,-91608.805,-91608.805,0,-81983.649,-81983.649,0,0,0,0,0,0,0,0,0,0,0,0,-81983.649,0.0,0,0,0,VT,VT,7112,Spin-Off 
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,242,ICH Icheon,7311,PL EAC,513179.766,-1869327.893,-1977795.247,-668041.068,-1476589.082,-1476589.082,-582569.216,690818.559,0,-36849.651,82297.772,0,-774520.031,-51046.264,-132209.25,-105444.473,-172799.184,-7399.364,-144468.683,-88701.833,0,0,0,P,AC,7311,PL EAC
LC,300000000,Net income attributable to the shareholders of the parent,698,VT Korea,242,ICH Icheon,7411,PL HYD,3069445.387,-1214021.85,1857852.565,-14904.637,-706581.488,-706581.488,-81301.543,132782.775,0,30435.756,-207533.374,0,-658131.994,-27534.977,-453114.775,-106004.898,-125869.418,61660.677,264507.864,337906.033,0,0,0,P,HT,7411,PL HYD
