no.,salary
1,58152000
2,65448000
3,55728000
4,57336000
5,62736000
6,55728000
7,57384000
8,57840000
9,60648000
10,63624000
11,62784000
12,57384000
13,56520000
14,59064000
15,55728000
16,55728000
17,57384000
18,57384000
19,57384000
20,57384000
21,59064000
22,57384000
23,59064000
24,60480000
25,63816000
26,55728000
27,57384000
28,57384000
29,57384000
30,57384000
31,57384000
32,56808000
33,58488000
34,58848000
35,65448000
36,65040000
37,61032000
38,55728000
39,57384000
40,59688000
41,59064000
42,65304000
43,68736000
44,62760000
45,57744000
46,57384000
47,57936000
48,59688000
49,59400000
50,62040000
51,62064000
52,63360000
53,57360000
54,57384000
55,58008000
56,55728000
57,60552000
58,64920000
59,66624000
60,61920000
61,63744000
62,62472000
63,57624000
64,58368000
65,57384000
66,58200000
67,59040000
68,57936000
69,59544000
70,60408000
71,63096000
72,60192000
73,67776000
74,65136000
75,62280000
76,61488000
77,65496000
78,58488000
79,63144000
80,59736000
81,63144000
82,60552000
83,67488000
84,59760000
85,65880000
86,61704000
87,62184000
88,65448000
89,61920000
90,55728000
91,56280000
92,57936000
93,55728000
94,58488000
95,59832000
96,63840000
97,62544000
98,63864000
99,57384000
100,59040000
101,63312000
102,65520000
103,60336000
104,62664000
105,59784000
106,58272000
107,55728000
108,55728000
109,58488000
110,69912000
111,92664000
112,60696000
113,67728000
114,58800000
115,68640000
116,55728000
117,65328000
118,63624000
119,58224000
120,58272000
121,58992000
122,58200000
123,58560000
124,59544000
125,60336000
126,62040000
127,68856000
128,65040000
129,74712000
130,72984000
131,65136000
132,64224000
133,66216000
134,61560000
135,73152000
136,64344000
137,57936000
138,59520000
139,64512000
140,57744000
141,57576000
142,61896000
143,56280000
144,59064000
145,59088000
146,59184000
147,63240000
148,57384000
149,63240000
150,64512000
151,62928000
152,62928000
153,59136000
154,59280000
155,58200000
156,64512000
157,64344000
158,84984000
159,66000000
160,62520000
161,60552000
162,67344000
163,61224000
164,57864000
165,57576000
166,55728000
167,60504000
168,58272000
169,60096000
170,59280000
171,67488000
172,69648000
173,66720000
174,62664000
175,63240000
176,65160000
177,61224000
178,62352000
179,57384000
180,68112000
181,64008000
182,60072000
183,62040000
184,62664000
185,59736000
186,57384000
187,57384000
188,55728000
189,59280000
190,59664000
191,69000000
192,75288000
193,68808000
194,74496000
195,64440000
196,72120000
197,63312000
198,74976000
199,57384000
200,57384000
201,57384000
202,55728000
203,57384000
204,62040000
205,82440000
206,62784000
207,57744000
208,72744000
209,61944000
210,80256000
211,57384000
212,56280000
213,57576000
214,57384000
215,65760000
216,75264000
217,64848000
