vt_group,no.,salary,financial_achievement,incentive_target,incentive,a,b
0,1,58152000,40.0,10,2326080.0,0.0,40.0
0,2,65448000,40.0,10,2617920.0,0.0,40.0
0,3,55728000,40.0,10,2229120.0,0.0,40.0
0,4,57336000,40.0,10,2293440.0,0.0,40.0
0,5,62736000,40.0,10,2509440.0,0.0,40.0
0,6,55728000,40.0,10,2229120.0,0.0,40.0
0,7,57384000,40.0,10,2295360.0,0.0,40.0
0,8,57840000,40.0,10,2313600.0,0.0,40.0
0,9,60648000,40.0,10,2425920.0,0.0,40.0
0,10,63624000,40.0,10,2544960.0,0.0,40.0
0,11,62784000,40.0,10,2511360.0,0.0,40.0
0,12,57384000,40.0,10,2295360.0,0.0,40.0
0,13,56520000,40.0,10,2260800.0,0.0,40.0
0,14,59064000,40.0,10,2362560.0,0.0,40.0
0,15,55728000,40.0,10,2229120.0,0.0,40.0
0,16,55728000,40.0,10,2229120.0,0.0,40.0
0,17,57384000,40.0,10,2295360.0,0.0,40.0
0,18,57384000,40.0,10,2295360.0,0.0,40.0
0,19,57384000,40.0,10,2295360.0,0.0,40.0
0,20,57384000,40.0,10,2295360.0,0.0,40.0
0,21,59064000,40.0,10,2362560.0,0.0,40.0
0,22,57384000,40.0,10,2295360.0,0.0,40.0
0,23,59064000,40.0,10,2362560.0,0.0,40.0
0,24,60480000,40.0,10,2419200.0,0.0,40.0
0,25,63816000,40.0,10,2552640.0,0.0,40.0
0,26,55728000,40.0,10,2229120.0,0.0,40.0
0,27,57384000,40.0,10,2295360.0,0.0,40.0
0,28,57384000,40.0,10,2295360.0,0.0,40.0
0,29,57384000,40.0,10,2295360.0,0.0,40.0
0,30,57384000,40.0,10,2295360.0,0.0,40.0
0,31,57384000,40.0,10,2295360.0,0.0,40.0
0,32,56808000,40.0,10,2272320.0,0.0,40.0
0,33,58488000,40.0,10,2339520.0,0.0,40.0
0,34,58848000,40.0,10,2353920.0,0.0,40.0
0,35,65448000,40.0,10,2617920.0,0.0,40.0
0,36,65040000,40.0,10,2601600.0,0.0,40.0
0,37,61032000,40.0,10,2441280.0,0.0,40.0
0,38,55728000,40.0,10,2229120.0,0.0,40.0
0,39,57384000,40.0,10,2295360.0,0.0,40.0
0,40,59688000,40.0,10,2387520.0,0.0,40.0
0,41,59064000,40.0,10,2362560.0,0.0,40.0
0,42,65304000,40.0,10,2612160.0,0.0,40.0
0,43,68736000,40.0,10,2749440.0,0.0,40.0
0,44,62760000,40.0,10,2510400.0,0.0,40.0
0,45,57744000,40.0,10,2309760.0,0.0,40.0
0,46,57384000,40.0,10,2295360.0,0.0,40.0
0,47,57936000,40.0,10,2317440.0,0.0,40.0
0,48,59688000,40.0,10,2387520.0,0.0,40.0
0,49,59400000,40.0,10,2376000.0,0.0,40.0
0,50,62040000,40.0,10,2481600.0,0.0,40.0
0,51,62064000,40.0,10,2482560.0,0.0,40.0
0,52,63360000,40.0,10,2534400.0,0.0,40.0
0,53,57360000,40.0,10,2294400.0,0.0,40.0
0,54,57384000,40.0,10,2295360.0,0.0,40.0
0,55,58008000,40.0,10,2320320.0,0.0,40.0
0,56,55728000,40.0,10,2229120.0,0.0,40.0
0,57,60552000,40.0,10,2422080.0,0.0,40.0
0,58,64920000,40.0,10,2596800.0,0.0,40.0
0,59,66624000,40.0,10,2664960.0,0.0,40.0
0,60,61920000,40.0,10,2476800.0,0.0,40.0
0,61,63744000,40.0,10,2549760.0,0.0,40.0
0,62,62472000,40.0,10,2498880.0,0.0,40.0
0,63,57624000,40.0,10,2304960.0,0.0,40.0
0,64,58368000,40.0,10,2334720.0,0.0,40.0
0,65,57384000,40.0,10,2295360.0,0.0,40.0
0,66,58200000,40.0,10,2328000.0,0.0,40.0
0,67,59040000,40.0,10,2361600.0,0.0,40.0
0,68,57936000,40.0,10,2317440.0,0.0,40.0
0,69,59544000,40.0,10,2381760.0,0.0,40.0
0,70,60408000,40.0,10,2416320.0,0.0,40.0
0,71,63096000,40.0,10,2523840.0,0.0,40.0
0,72,60192000,40.0,10,2407680.0,0.0,40.0
0,73,67776000,40.0,10,2711040.0,0.0,40.0
0,74,65136000,40.0,10,2605440.0,0.0,40.0
0,75,62280000,40.0,10,2491200.0,0.0,40.0
0,76,61488000,40.0,10,2459520.0,0.0,40.0
0,77,65496000,40.0,10,2619840.0,0.0,40.0
0,78,58488000,40.0,10,2339520.0,0.0,40.0
0,79,63144000,40.0,10,2525760.0,0.0,40.0
0,80,59736000,40.0,10,2389440.0,0.0,40.0
0,81,63144000,40.0,10,2525760.0,0.0,40.0
